user_id,name,gender,age,city,region,registration_date,primary_app,preferred_device,credit_score,monthly_income_uzs,identity_verified,historical_tx_count
U000025,Kamol Mirzayev,M,52,Jizzakh,Jizzakh,2021-04-14,Click,Android,597,12638640,1,359
U000026,Sardor Rahimov,M,39,Fergana,Fergana,2019-05-03,Payme,iOS,645,3990715,0,596
U000027,Shahnoza Qodirov,F,62,Tashkent,Tashkent City,2019-04-19,TBC Uzbekistan,iOS,751,3550779,1,98
U000028,Zulfiya Nazarov,F,47,Fergana,Fergana,2022-12-14,Anorbank,Android,623,3941682,1,217
U000029,Ulugbek Ahmedov,M,41,Andijan,Andijan,2019-05-02,Anorbank,Android,666,3200502,1,373
U000030,Gulnora Xoliqov,F,42,Nukus,Karakalpakstan,2023-06-17,Anorbank,Android,556,4057699,1,646
U000031,Alisher Ergashev,M,30,Tashkent,Tashkent City,2021-12-28,Hamkorbank,Android,638,3136050,1,696
U000032,Barno Salimov,F,22,Namangan,Namangan,2021-05-30,TBC Uzbekistan,Android,545,6952856,1,400
U000033,Eldor Xasanov,M,47,Guliston,Sirdaryo,2023-08-04,Ipak Yo'li,iOS,547,6548257,1,765
U000034,Sardor Ergashev,M,65,Tashkent,Tashkent City,2020-12-08,Anorbank,Web,564,12836901,1,773
U000035,Robiya Nazarov,F,21,Jizzakh,Jizzakh,2020-12-30,Hamkorbank,iOS,502,3450913,1,1
U000036,Ozoda Xoliqov,F,64,Fergana,Fergana,2021-01-18,TBC Uzbekistan,Android,610,4161789,1,463
U000037,Sarvinoz Xasanov,F,62,Qarshi,Qashqadaryo,2022-04-02,Anorbank,Android,610,4059041,0,779
U000038,Robiya Nazarov,F,32,Guliston,Sirdaryo,2023-03-27,Anorbank,iOS,648,3945275,1,211
U000039,Nasiba Rahimov,F,52,Bukhara,Bukhara,2021-09-16,Anorbank,iOS,626,6894742,1,258
U000040,Nodir Rahimov,M,26,Guliston,Sirdaryo,2020-05-27,Hamkorbank,iOS,790,1320185,1,251
U000041,Nasiba Ahmedov,F,58,Namangan,Namangan,2023-06-12,Anorbank,Android,676,4614429,1,565
U000042,Gulnora Umarov,F,55,Andijan,Andijan,2021-12-29,Payme,Android,525,11590949,1,344
U000043,Dilnoza Boymurodov,F,37,Nukus,Karakalpakstan,2023-02-28,Uzum Bank,Web,604,7929029,1,602
U000044,Dilnoza Davlatov,F,21,Qarshi,Qashqadaryo,2021-02-27,Ipak Yo'li,Android,719,7403131,1,289
U000045,Doniyor Xoliqov,M,70,Namangan,Namangan,2019-12-30,Hamkorbank,Android,436,5800821,1,725
U000046,Feruza Xasanov,F,42,Urgench,Xorazm,2023-09-20,TBC Uzbekistan,iOS,791,2448055,1,207
U000047,Feruza Nazarov,F,66,Tashkent,Tashkent City,2022-05-21,Ipak Yo'li,iOS,457,2231909,1,327
U000048,Ibrohim Xasanov,M,54,Qarshi,Qashqadaryo,2020-07-15,Click,Android,658,2242396,1,685
U000049,Sitora Sobirov,F,60,Qarshi,Qashqadaryo,2023-03-27,Click,iOS,550,1767719,0,613
U000050,Kamol Ahmedov,M,59,Fergana,Fergana,2019-01-17,Click,Android,543,6176353,0,298
U000051,Barno Nazarov,F,28,Qarshi,Qashqadaryo,2023-08-25,TBC Uzbekistan,Web,393,8446742,1,548
U000052,Feruza Davlatov,F,37,Termez,Surxondaryo,2021-11-21,Hamkorbank,iOS,658,4542234,1,365
U000053,Sardor Rahimov,M,43,Jizzakh,Jizzakh,2021-12-12,Anorbank,iOS,395,5672523,1,260
U000054,Mahliyo Yusupov,F,44,Bukhara,Bukhara,2019-01-25,TBC Uzbekistan,Android,376,4173872,1,233
U000055,Behruz Sobirov,M,20,Nukus,Karakalpakstan,2019-11-18,Uzum Bank,Android,689,4923494,0,660
U000056,Dilfuza Umarov,F,47,Fergana,Fergana,2022-08-08,Ipak Yo'li,iOS,764,982684,1,647
U000057,Sarvinoz Ahmedov,F,26,Andijan,Andijan,2021-10-15,Click,Android,469,4227323,1,713
U000058,Asliddin Xoliqov,M,58,Guliston,Sirdaryo,2019-08-21,Anorbank,Android,670,2711329,1,317
U000059,Sanjar Xasanov,M,54,Fergana,Fergana,2022-04-30,Payme,Web,645,3416671,1,453
U000060,Ibrohim Karimov,M,67,Qarshi,Qashqadaryo,2022-09-24,TBC Uzbekistan,Web,539,4007717,1,74
U000061,Ulugbek Xasanov,M,58,Bukhara,Bukhara,2020-05-12,TBC Uzbekistan,USSD,710,2278238,1,655
U000062,Mirzo Toshmatov,M,37,Andijan,Andijan,2022-06-12,Anorbank,Android,530,1835647,0,136
U000063,Firdavs Sobirov,M,70,Qarshi,Qashqadaryo,2023-11-11,Ipak Yo'li,Android,612,2237127,0,499
U000064,Behruz Xoliqov,M,40,Nukus,Karakalpakstan,2021-05-30,Anorbank,Android,399,1467796,1,695
U000065,Jasur Xasanov,M,35,Urgench,Xorazm,2020-02-23,Payme,iOS,404,1750040,1,631
U000066,Sanjar Ergashev,M,66,Samarkand,Samarkand,2023-10-22,Uzum Bank,Web,690,1900331,1,653
U000067,Sanjar Toshmatov,M,38,Samarkand,Samarkand,2023-07-22,Uzum Bank,Android,616,1479512,1,494
U000068,Maftuna Mirzayev,F,22,Andijan,Andijan,2021-04-13,Ipak Yo'li,Android,532,4806783,0,761
U000069,Feruza Salimov,F,43,Namangan,Namangan,2021-02-14,Ipak Yo'li,Web,778,2039011,1,554
U000070,Behruz Karimov,M,60,Urgench,Xorazm,2023-03-02,Ipak Yo'li,Android,777,1144374,0,523
U000071,Dilfuza Boymurodov,F,28,Jizzakh,Jizzakh,2019-01-02,Payme,Android,602,2751128,1,30
U000072,Timur Karimov,M,42,Nukus,Karakalpakstan,2020-07-23,Hamkorbank,USSD,375,1794684,1,511
U000073,Mahliyo Salimov,F,25,Fergana,Fergana,2021-09-18,Ipak Yo'li,iOS,536,8399839,1,77
U000074,Firdavs Nazarov,M,55,Namangan,Namangan,2022-04-08,Click,iOS,450,3790551,1,311
U000075,Bobur Nazarov,M,43,Fergana,Fergana,2022-02-20,Uzum Bank,USSD,560,1448422,1,330
U000076,Sitora Umarov,F,35,Termez,Surxondaryo,2020-11-07,Kapitalbank Mobile,Web,437,4923309,1,325
U000077,Sardor Davlatov,M,30,Termez,Surxondaryo,2023-05-06,Kapitalbank Mobile,Android,406,3683076,1,631
U000078,Zulfiya Yusupov,F,48,Guliston,Sirdaryo,2022-03-31,TBC Uzbekistan,iOS,300,3033137,1,553
U000079,Sherzod Davlatov,M,54,Fergana,Fergana,2021-09-13,TBC Uzbekistan,iOS,570,9002789,1,50
U000080,Ibrohim Ergashev,M,68,Andijan,Andijan,2023-09-10,Click,Web,300,1949261,1,302
U000081,Dilshod Sobirov,M,41,Tashkent,Tashkent City,2019-06-21,Kapitalbank Mobile,Android,511,6513328,1,10
U000082,Dilnoza Mirzayev,F,26,Termez,Surxondaryo,2022-07-19,Anorbank,iOS,633,2737513,0,652
U000083,Firdavs Ahmedov,M,62,Urgench,Xorazm,2023-08-19,Hamkorbank,Web,463,3461662,1,174
U000084,Barno Xoliqov,F,52,Fergana,Fergana,2022-04-22,Click,Android,419,2231931,0,339
U000085,Lola Xoliqov,F,55,Guliston,Sirdaryo,2021-10-28,Payme,iOS,541,2318958,1,688
U000086,Mahliyo Nazarov,F,23,Namangan,Namangan,2020-10-27,Hamkorbank,Android,450,2694302,1,598
U000087,Shahnoza Umarov,F,34,Tashkent,Tashkent City,2020-05-10,Click,Android,572,1118853,1,709
U000088,Nasiba Karimov,F,59,Qarshi,Qashqadaryo,2021-09-23,Kapitalbank Mobile,Android,426,4309200,0,274
U000089,Sitora Nazarov,F,62,Samarkand,Samarkand,2023-06-29,TBC Uzbekistan,iOS,537,3749788,1,235
U000090,Kamol Nazarov,M,41,Samarkand,Samarkand,2021-04-23,Kapitalbank Mobile,Android,508,1424953,1,393
U000091,Jasur Umarov,M,61,Termez,Surxondaryo,2019-08-09,Click,iOS,548,5200396,1,545
U000092,Nodira Nazarov,F,63,Nukus,Karakalpakstan,2021-06-01,Ipak Yo'li,Android,746,8389669,1,710
U000093,Sardor Rahimov,M,38,Qarshi,Qashqadaryo,2019-06-27,Ipak Yo'li,Android,573,2349145,1,562
U000094,Nasiba Umarov,F,66,Termez,Surxondaryo,2023-09-05,Uzum Bank,Android,610,2185623,1,716
U000095,Sanjar Nazarov,M,33,Andijan,Andijan,2021-09-03,Kapitalbank Mobile,iOS,475,6826489,1,0
U000096,Dilshod Davlatov,M,30,Qarshi,Qashqadaryo,2020-01-26,TBC Uzbekistan,Android,576,4458060,1,697
U000097,Eldor Yusupov,M,54,Fergana,Fergana,2022-02-14,Click,iOS,517,3225889,1,299
U000098,Kamol Davlatov,M,52,Fergana,Fergana,2021-09-08,Uzum Bank,Web,553,5705897,1,122
U000099,Shahnoza Davlatov,F,25,Termez,Surxondaryo,2021-07-21,Click,iOS,627,4125673,1,120
U000100,Mohira Mirzayev,F,62,Andijan,Andijan,2021-12-16,Anorbank,iOS,489,8247113,1,311
U000101,Ulugbek Toshmatov,M,28,Fergana,Fergana,2023-08-23,Click,iOS,502,3464992,1,276
U000102,Zafar Salimov,M,61,Qarshi,Qashqadaryo,2023-04-12,Kapitalbank Mobile,iOS,491,4520607,0,57
U000103,Mohira Sobirov,F,18,Samarkand,Samarkand,2020-04-24,Click,Android,489,6763901,1,212
U000104,Ravshan Rahimov,M,61,Bukhara,Bukhara,2020-03-13,Ipak Yo'li,Android,570,805788,1,394
U000105,Mahliyo Rahimov,F,60,Samarkand,Samarkand,2023-12-13,Payme,USSD,506,6912364,1,61
U000106,Sarvinoz Boymurodov,F,60,Bukhara,Bukhara,2022-03-22,Kapitalbank Mobile,Web,729,2584932,1,226
U000107,Ulugbek Nazarov,M,53,Nukus,Karakalpakstan,2019-02-05,Ipak Yo'li,iOS,850,4724357,1,788
U000108,Eldor Mirzayev,M,43,Guliston,Sirdaryo,2021-08-24,Click,iOS,481,9499499,1,744
U000109,Ibrohim Xoliqov,M,56,Guliston,Sirdaryo,2019-08-05,TBC Uzbekistan,iOS,585,2913116,1,400
U000110,Sherzod Sobirov,M,32,Urgench,Xorazm,2019-02-24,Payme,Android,674,2662996,1,364
U000111,Behruz Xasanov,M,60,Fergana,Fergana,2019-12-05,Hamkorbank,Android,518,3386907,1,116
U000112,Kamola Nazarov,F,48,Bukhara,Bukhara,2020-04-09,Hamkorbank,Android,430,1464316,1,739
U000113,Sardor Xoliqov,M,42,Andijan,Andijan,2019-05-26,Hamkorbank,iOS,758,13095088,1,187
U000114,Robiya Toshmatov,F,45,Urgench,Xorazm,2023-03-05,Uzum Bank,iOS,632,3411844,1,134
U000115,Nodira Karimov,F,48,Jizzakh,Jizzakh,2021-03-10,Ipak Yo'li,Android,588,9394432,1,29
U000116,Sardor Nazarov,M,20,Guliston,Sirdaryo,2021-10-04,Anorbank,Android,724,2865774,1,713
U000117,Ozoda Sobirov,F,25,Andijan,Andijan,2023-04-29,Uzum Bank,Web,642,3572145,1,240
U000118,Timur Davlatov,M,31,Nukus,Karakalpakstan,2023-03-08,Ipak Yo'li,iOS,544,6167672,1,336
U000119,Dilnoza Ahmedov,F,24,Fergana,Fergana,2023-02-06,Payme,Web,432,1806577,1,51
U000120,Nodira Ergashev,F,41,Tashkent,Tashkent City,2019-12-25,Kapitalbank Mobile,Android,490,3291136,1,231
U000121,Sarvinoz Karimov,F,54,Samarkand,Samarkand,2022-09-21,Anorbank,Android,694,6030587,1,198
U000122,Sarvinoz Xasanov,F,53,Tashkent,Tashkent City,2023-12-23,TBC Uzbekistan,iOS,631,3080040,1,795
U000123,Ravshan Qodirov,M,43,Termez,Surxondaryo,2019-01-14,Ipak Yo'li,Android,527,2619329,1,348
U000124,Zafar Davlatov,M,64,Bukhara,Bukhara,2023-05-04,Click,Android,761,6833929,0,174
U000125,Sherzod Mirzayev,M,48,Termez,Surxondaryo,2023-04-29,Ipak Yo'li,Android,531,8112712,1,537
U000126,Maftuna Mirzayev,F,22,Andijan,Andijan,2023-03-16,Anorbank,iOS,668,8924880,1,190
U000127,Bobur Rahimov,M,59,Urgench,Xorazm,2020-12-24,Click,Android,576,2334431,1,666
U000128,Nasiba Rahimov,F,49,Samarkand,Samarkand,2019-12-30,Hamkorbank,Android,781,2472360,0,742
U000129,Bobur Davlatov,M,52,Namangan,Namangan,2022-08-28,Kapitalbank Mobile,Android,640,2637456,1,44
U000130,Lola Ergashev,F,48,Bukhara,Bukhara,2022-02-11,Anorbank,iOS,555,5386389,1,380
U000131,Nodira Umarov,F,47,Nukus,Karakalpakstan,2022-08-19,TBC Uzbekistan,iOS,528,1706909,1,197
U000132,Behruz Umarov,M,22,Fergana,Fergana,2020-04-12,Hamkorbank,Web,548,1765724,1,682
U000133,Asliddin Umarov,M,48,Bukhara,Bukhara,2019-11-20,Ipak Yo'li,Android,462,2279965,1,108
U000134,Shahnoza Ahmedov,F,60,Termez,Surxondaryo,2023-07-04,Click,iOS,385,1993375,1,328
U000135,Ulugbek Nazarov,M,34,Guliston,Sirdaryo,2021-07-29,Anorbank,Android,587,5949928,1,278
U000136,Kamol Rahimov,M,50,Tashkent,Tashkent City,2023-04-03,Hamkorbank,iOS,485,5714153,1,376
U000137,Asliddin Umarov,M,19,Samarkand,Samarkand,2023-08-18,Kapitalbank Mobile,Web,485,2621519,1,141
U000138,Mohira Boymurodov,F,36,Guliston,Sirdaryo,2021-04-18,Ipak Yo'li,Android,539,3115666,1,97
U000139,Dilshod Mirzayev,M,41,Qarshi,Qashqadaryo,2020-04-25,Click,Web,556,800000,1,188
U000140,Mirzo Nazarov,M,71,Guliston,Sirdaryo,2023-06-23,Anorbank,Android,550,2659947,1,544
U000141,Gulnora Ahmedov,F,29,Termez,Surxondaryo,2022-07-28,Click,Web,758,7382667,1,733
U000142,Sherzod Qodirov,M,32,Termez,Surxondaryo,2022-04-30,Uzum Bank,iOS,629,2574540,1,772
U000143,Ravshan Boymurodov,M,40,Samarkand,Samarkand,2023-10-15,TBC Uzbekistan,Android,802,1817127,1,513
U000144,Sardor Karimov,M,71,Fergana,Fergana,2020-03-25,Click,iOS,497,7992455,1,8
U000145,Ravshan Toshmatov,M,64,Andijan,Andijan,2020-10-20,Uzum Bank,Android,644,1793331,1,693
U000146,Sardor Mirzayev,M,19,Jizzakh,Jizzakh,2019-03-13,Ipak Yo'li,USSD,503,8849837,0,734
U000147,Sanjar Xasanov,M,30,Tashkent,Tashkent City,2020-12-08,Ipak Yo'li,Android,482,19796605,1,434
U000148,Sherzod Salimov,M,62,Tashkent,Tashkent City,2021-03-25,Uzum Bank,iOS,807,3277682,0,442
U000149,Zulfiya Nazarov,F,21,Fergana,Fergana,2021-04-05,Click,iOS,457,7381891,1,655
U000150,Alisher Qodirov,M,64,Guliston,Sirdaryo,2019-10-03,Kapitalbank Mobile,Android,300,1285827,1,280
U000151,Ozoda Xoliqov,F,33,Guliston,Sirdaryo,2023-01-16,Payme,Web,465,1252320,1,279
U000152,Robiya Qodirov,F,67,Qarshi,Qashqadaryo,2021-06-11,Anorbank,iOS,309,2169998,1,596
U000153,Dilfuza Karimov,F,33,Nukus,Karakalpakstan,2021-03-12,Uzum Bank,iOS,435,5732862,1,195
U000154,Robiya Qodirov,F,41,Namangan,Namangan,2023-04-26,Anorbank,USSD,446,3503664,1,662
U000155,Ulugbek Yusupov,M,53,Guliston,Sirdaryo,2021-06-06,Ipak Yo'li,Web,554,3129652,1,439
U000156,Gulnora Toshmatov,F,24,Bukhara,Bukhara,2023-06-17,Click,Web,304,1613267,1,244
U000157,Ulugbek Yusupov,M,48,Samarkand,Samarkand,2020-02-10,Hamkorbank,Android,693,3242527,1,753
U000158,Dilshod Qodirov,M,45,Fergana,Fergana,2023-04-02,Kapitalbank Mobile,Web,324,2378799,1,116
U000159,Dilfuza Mirzayev,F,60,Andijan,Andijan,2023-12-09,Ipak Yo'li,Android,534,2012274,1,668
U000160,Mirzo Mirzayev,M,71,Nukus,Karakalpakstan,2022-10-01,Uzum Bank,iOS,511,1912375,1,425
U000161,Dilshod Davlatov,M,53,Jizzakh,Jizzakh,2023-06-17,Click,USSD,649,3927199,1,194
U000162,Dilshod Rahimov,M,40,Namangan,Namangan,2022-09-12,Kapitalbank Mobile,Android,592,2271786,1,492
U000163,Sardor Sobirov,M,39,Jizzakh,Jizzakh,2021-12-31,Payme,Android,692,3486340,1,763
U000164,Dilshod Rahimov,M,40,Bukhara,Bukhara,2022-10-25,Hamkorbank,Web,506,1210888,1,138
U000165,Nilufar Boymurodov,F,61,Namangan,Namangan,2023-10-20,Hamkorbank,Android,494,4733411,0,419
U000166,Feruza Xasanov,F,35,Tashkent,Tashkent City,2022-01-09,Hamkorbank,Android,599,4043824,1,565
U000167,Behruz Xoliqov,M,27,Termez,Surxondaryo,2022-06-07,Ipak Yo'li,Android,673,3046341,1,336
U000168,Robiya Sobirov,F,36,Jizzakh,Jizzakh,2019-05-25,TBC Uzbekistan,iOS,649,3856164,1,183
U000169,Ibrohim Karimov,M,19,Jizzakh,Jizzakh,2023-10-17,Hamkorbank,Android,588,6130424,1,230
U000170,Mahliyo Umarov,F,23,Bukhara,Bukhara,2022-11-20,Anorbank,Android,577,1467377,1,333
U000171,Feruza Rahimov,F,22,Urgench,Xorazm,2019-10-22,Anorbank,Web,545,3642901,1,501
U000172,Barno Yusupov,F,59,Samarkand,Samarkand,2020-06-12,Payme,iOS,599,1599481,0,478
U000173,Zafar Yusupov,M,57,Qarshi,Qashqadaryo,2020-02-16,Ipak Yo'li,iOS,794,3688898,0,463
U000174,Bobur Qodirov,M,55,Termez,Surxondaryo,2020-08-06,Payme,Android,520,2996516,1,290
U000175,Alisher Rahimov,M,42,Samarkand,Samarkand,2023-06-04,TBC Uzbekistan,Web,506,3448074,1,660
U000176,Barno Mirzayev,F,56,Samarkand,Samarkand,2021-04-27,Ipak Yo'li,Android,497,5822972,1,354
U000177,Nodir Toshmatov,M,26,Tashkent,Tashkent City,2021-02-05,Uzum Bank,USSD,596,5719428,1,731
U000178,Alisher Sobirov,M,66,Termez,Surxondaryo,2022-11-22,Kapitalbank Mobile,Android,300,6717986,1,254
U000179,Dilfuza Yusupov,F,45,Qarshi,Qashqadaryo,2020-11-08,Click,Web,533,2759187,1,597
U000180,Shahnoza Ergashev,F,68,Samarkand,Samarkand,2023-06-05,Uzum Bank,Web,655,5337009,0,444
U000181,Behruz Sobirov,M,26,Fergana,Fergana,2022-10-08,Anorbank,Android,486,4743360,1,147
U000182,Jasur Ergashev,M,44,Urgench,Xorazm,2020-04-14,TBC Uzbekistan,Android,572,2801170,1,71
U000183,Mirzo Sobirov,M,55,Bukhara,Bukhara,2022-02-24,Ipak Yo'li,Android,803,3754986,1,105
U000184,Nodir Xasanov,M,44,Qarshi,Qashqadaryo,2021-05-30,Payme,Android,589,3233131,1,375
U000185,Ozoda Toshmatov,F,42,Namangan,Namangan,2020-09-19,TBC Uzbekistan,Android,300,8082447,1,428
U000186,Doniyor Rahimov,M,26,Namangan,Namangan,2023-07-13,Uzum Bank,Android,380,5691038,1,539
U000187,Nozima Nazarov,F,38,Andijan,Andijan,2020-12-27,Kapitalbank Mobile,Android,519,2861207,1,122
U000188,Eldor Xoliqov,M,30,Andijan,Andijan,2019-08-02,Kapitalbank Mobile,Android,453,2744221,1,147
U000189,Barno Qodirov,F,34,Nukus,Karakalpakstan,2021-01-15,Uzum Bank,Android,562,6217277,0,493
U000190,Shahnoza Nazarov,F,54,Bukhara,Bukhara,2021-08-01,TBC Uzbekistan,iOS,514,7820469,1,461
U000191,Jasur Mirzayev,M,52,Andijan,Andijan,2019-08-19,Click,Android,689,4229500,1,129
U000192,Doniyor Boymurodov,M,50,Qarshi,Qashqadaryo,2022-09-17,Anorbank,Android,419,5196089,1,466
U000193,Dilshod Umarov,M,37,Andijan,Andijan,2020-02-23,TBC Uzbekistan,Android,525,7649512,1,185
U000194,Dilshod Salimov,M,69,Qarshi,Qashqadaryo,2019-06-18,Ipak Yo'li,Android,576,3151540,1,245
U000195,Lola Ahmedov,F,22,Samarkand,Samarkand,2021-09-07,Uzum Bank,Android,590,3679751,1,66
U000196,Ibrohim Boymurodov,M,36,Samarkand,Samarkand,2019-10-21,Hamkorbank,Android,567,4687033,1,55
U000197,Nilufar Toshmatov,F,24,Jizzakh,Jizzakh,2022-11-27,TBC Uzbekistan,Android,300,2705708,1,669
U000198,Dilshod Ergashev,M,36,Nukus,Karakalpakstan,2019-05-05,Hamkorbank,Android,559,9700621,1,765
U000199,Kamol Xasanov,M,69,Qarshi,Qashqadaryo,2021-02-03,Ipak Yo'li,iOS,531,2691130,1,471
U000200,Nodira Toshmatov,F,37,Termez,Surxondaryo,2019-04-05,Kapitalbank Mobile,iOS,653,3631096,1,77
U000201,Dilfuza Sobirov,F,67,Samarkand,Samarkand,2020-11-30,Payme,Web,636,11051748,1,277
U000202,Barno Boymurodov,F,44,Guliston,Sirdaryo,2023-08-31,Hamkorbank,iOS,578,1145335,1,282
U000203,Zafar Toshmatov,M,55,Nukus,Karakalpakstan,2022-04-02,Kapitalbank Mobile,Android,587,3984206,1,317
U000204,Sarvinoz Mirzayev,F,42,Jizzakh,Jizzakh,2021-09-03,Click,Android,712,2354723,0,147
U000205,Gulnora Rahimov,F,32,Nukus,Karakalpakstan,2019-10-14,TBC Uzbekistan,iOS,688,3500355,1,107
U000206,Zafar Karimov,M,59,Andijan,Andijan,2020-07-24,TBC Uzbekistan,iOS,583,1697633,0,736
U000207,Lola Mirzayev,F,70,Qarshi,Qashqadaryo,2020-11-25,Uzum Bank,Android,807,2801726,1,678
U000208,Barno Sobirov,F,32,Bukhara,Bukhara,2021-11-21,Kapitalbank Mobile,iOS,474,3552420,1,42
U000209,Sardor Boymurodov,M,60,Qarshi,Qashqadaryo,2020-01-15,Payme,Android,407,4038022,0,244
U000210,Dilfuza Boymurodov,F,32,Guliston,Sirdaryo,2023-12-30,Anorbank,Android,548,5990349,1,107
U000211,Mahliyo Qodirov,F,56,Qarshi,Qashqadaryo,2022-04-04,Payme,iOS,505,868019,1,57
U000212,Sanjar Qodirov,M,60,Tashkent,Tashkent City,2020-07-23,Payme,USSD,300,3245408,1,516
U000213,Mohira Boymurodov,F,42,Termez,Surxondaryo,2019-07-25,Hamkorbank,Web,471,3151718,1,287
U000214,Doniyor Qodirov,M,57,Tashkent,Tashkent City,2021-12-21,Uzum Bank,USSD,591,3367585,1,438
U000215,Ibrohim Yusupov,M,32,Samarkand,Samarkand,2021-03-28,Ipak Yo'li,Android,543,3568439,0,194
U000216,Eldor Sobirov,M,22,Namangan,Namangan,2022-05-14,Uzum Bank,Android,456,2126956,1,576
U000217,Doniyor Ergashev,M,23,Namangan,Namangan,2021-12-24,TBC Uzbekistan,Android,555,1383428,1,326
U000218,Dilfuza Qodirov,F,42,Tashkent,Tashkent City,2022-03-14,Anorbank,Android,564,3986950,1,95
U000219,Sarvinoz Karimov,F,66,Tashkent,Tashkent City,2023-03-02,Anorbank,iOS,635,1927477,1,688
U000220,Maftuna Qodirov,F,24,Urgench,Xorazm,2021-08-16,Ipak Yo'li,Android,473,4456696,1,237
U000221,Eldor Sobirov,M,42,Nukus,Karakalpakstan,2022-08-15,TBC Uzbekistan,Android,654,1994597,0,595
U000222,Sitora Boymurodov,F,56,Bukhara,Bukhara,2020-10-17,Click,Web,419,5303654,1,548
U000223,Ravshan Xoliqov,M,28,Nukus,Karakalpakstan,2023-09-17,TBC Uzbekistan,Android,489,3387490,1,194
U000224,Ravshan Mirzayev,M,56,Termez,Surxondaryo,2021-01-14,Uzum Bank,Android,753,3531553,1,201
U000225,Sanjar Davlatov,M,34,Termez,Surxondaryo,2022-05-25,Kapitalbank Mobile,Web,427,3019091,0,257
U000226,Behruz Umarov,M,61,Namangan,Namangan,2023-12-28,Uzum Bank,Android,470,2742170,1,714
U000227,Maftuna Boymurodov,F,49,Bukhara,Bukhara,2020-09-29,Hamkorbank,Web,399,3043392,1,346
U000228,Zulfiya Nazarov,F,47,Guliston,Sirdaryo,2019-07-05,Uzum Bank,Android,450,7111784,1,594
U000229,Firdavs Nazarov,M,27,Qarshi,Qashqadaryo,2020-02-27,Kapitalbank Mobile,Android,566,1393947,1,129
U000230,Eldor Yusupov,M,43,Guliston,Sirdaryo,2020-03-20,Hamkorbank,Android,634,2372350,1,60
U000231,Nilufar Rahimov,F,64,Namangan,Namangan,2019-04-14,Payme,Android,547,6597951,1,228
U000232,Nodir Davlatov,M,19,Samarkand,Samarkand,2021-09-19,Hamkorbank,Android,511,5723765,0,145
U000233,Asliddin Umarov,M,58,Andijan,Andijan,2020-05-21,Click,iOS,400,7837196,1,246
